state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(marine)	age(marine)	exponential.popSize	exponential.growthRate	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	marine.rate	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
232480000	-38353.885703037166	-529.7691291945223	-37824.11657384264	1.1935249272127866	2022.6393517851159	34.6375564757129	0.9365598761326246	2022.896316836196	366.2885161272924	5.7664495669450595	0.4008229712723763	2.1791337609430674	0.1281124506801966	0.07294284325559547	2.8936552895242547	0.32533268432448403	0.33521718489362223	0.19541081533733212	0.236303493354067	0.23306850641497873	0.278925744454231	0.00523750647309726	0.002870100183178891	0.004910281439384117	0.13221327863901178	0.9837066899825236	-37824.11657384264	0.0	-520.0862790300455
232560000	-38328.10709528587	-501.3616058056186	-37826.74548948025	1.1513257292976276	2022.681550983031	32.29618587099284	0.9425343836207577	2022.890342328708	338.37482941255865	5.978817289206552	0.39610041621148356	2.240738280186405	0.1806953239386188	0.04685235942552756	2.857270301371221	0.27834331886671765	0.33452631802794897	0.19431175459062353	0.24259723847251294	0.2285646889089148	0.27152538648573077	0.005610760403561273	0.002207005610118151	0.005120046497569421	0.17994319829311597	0.9837066899825423	-37826.74548948025	0.0	-491.6011138852962
232640000	-38334.712234156585	-537.7469206398193	-37796.96531351677	1.1925514300477853	2022.6403252822809	35.076288034400946	0.9573829523310532	2022.8754937599977	1391.7604645674628	7.186869466815021	0.422935308072246	2.140000532514511	0.18457563077810316	0.04005918191790872	2.9176135685904625	0.29481577812674103	0.33320419494202114	0.1926414110143377	0.24392514239684235	0.23022925164679872	0.2572049733023761	0.005279144826284525	0.0026606290671017598	0.004918498735835211	0.1456590941989074	0.9837066899825457	-37796.96531351677	0.0	-525.3922977296927
232720000	-38360.26761574746	-543.4996012037083	-37816.768014543755	1.153931672495234	2022.6789450398335	35.37383175869844	0.9256571270797164	2022.907219585249	292.6125534885149	5.22926623650584	0.38825880655044487	2.259920892062314	0.1993911112703159	0.05916208352828031	2.816126048121775	0.27714105846684367	0.3350808465614655	0.19039525064271987	0.23651877717625786	0.23800512561955672	0.289868519750901	0.005176429871565491	0.002724200409203324	0.004853968467211724	0.1388370464057498	0.983706689982528	-37816.768014543755	0.0	-534.5826521839678
232800000	-38330.2347270337	-522.4631612972319	-37807.77156573647	1.1991131151095695	2022.633763597219	34.561903089254045	0.948258002977641	2022.8846187093511	2465.086365945425	8.016758252821221	0.374739036542197	2.112494271463871	0.17589361086490735	0.04275680511104763	2.9868846264037754	0.30723164961417604	0.3313087647593846	0.1941568032793588	0.25086862947854977	0.22366580248270673	0.23657115379512567	0.005464067478964661	0.0024581847074073345	0.004988346354124536	0.16233991563313283	0.9837066899825392	-37807.77156573647	0.0	-508.8148974861571
232880000	-38365.11895197598	-540.6695219213099	-37824.44943005467	1.1642062814302814	2022.6686704308984	36.21456658591205	0.9315385792820177	2022.9013381330467	505.86762428635507	5.984243964900524	0.34636922920600033	2.268426521720359	0.18412063658504094	0.06085137477089614	2.8507908074261654	0.2894414302915112	0.33388131118179804	0.19657444304340832	0.24406665123092094	0.2254775945438727	0.23469302177420423	0.005450366873914926	0.0023876754680412153	0.004975775239188991	0.1660013101434617	0.9837066899825334	-37824.44943005467	0.0	-530.6871923901231
232960000	-38344.01063543514	-535.0026204728722	-37809.008014962266	1.176646100343821	2022.656230611985	35.28244108241336	0.9437114849253856	2022.8891652274033	576.2520476020833	6.167150182007857	0.433905821549706	2.208048629938357	0.1747276118043017	0.05913871924433057	2.836816269466447	0.28736294799683165	0.32752215026282594	0.1964157181564445	0.24256315381722957	0.2334989777635002	0.2606145535128778	0.005630528684940882	0.002231623349423325	0.00514923161304731	0.1790072107999155	0.9837066899825312	-37809.008014962266	0.0	-524.6052862289779
233040000	-38377.308946104065	-541.1369162746154	-37836.17202982945	1.217498391818043	2022.6153783205107	36.37302042243377	0.9170104675174268	2022.9158662448112	986.3221248855466	6.802115209977808	0.37532118184105656	2.275856075542456	0.1829009300901035	0.06373450081560239	2.821706325011006	0.28048098669974936	0.3295229377337275	0.19312725445024445	0.2443891071441372	0.23296070067189117	0.240388041091127	0.00512012282700245	0.0021858152474370013	0.0046997831286398235	0.16947254734708367	0.9837066899825332	-37836.17202982945	0.0	-529.7131052925943
233120000	-38340.3461338538	-535.6869987486925	-37804.65913510511	1.2489564506772008	2022.5839202616514	34.92922627507663	0.9296954523689756	2022.9031812599596	710.3542242296955	6.370795452055959	0.45278797222423767	2.2191414390551203	0.13242966151178265	0.06825839443522086	2.8631423732516126	0.2642401595220002	0.3294394681940636	0.19525106026170638	0.23904436955014677	0.23626510199408338	0.2408343616766427	0.005082861739866879	0.002750967659295537	0.0047970290155444064	0.13427379609387563	0.9837066899825362	-37804.65913510511	0.0	-524.8040686296657
233200000	-38332.83524132063	-522.8769344722558	-37809.95830684838	1.1356381667434754	2022.6972385455852	33.96821166756188	0.9576438392300176	2022.8752328730986	299.0622345862031	5.256731235010745	0.4439734468866508	2.167941759710712	0.16606658953734174	0.05971141705386844	2.8255927667282816	0.33671402008312046	0.3333557539871009	0.19182632752304318	0.24572500313391596	0.2290929153559402	0.21745679134634766	0.00574994438924167	0.0020707883617212077	0.0051990987596152284	0.19037008545408515	0.9837066899825232	-37809.95830684838	0.0	-514.1474318733312
